flag,model,bin_idx,bin_lo,bin_hi,n,error_rate,werr
insertion,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,14034,0.01966652415562206,0.0004935071808805625
insertion,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,4034,0.011403073872087258,0.00036579466539854807
insertion,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,4306,0.010682768230376219,0.00041414424257947297
insertion,aligned_pacifico,6,0.049009972810745234,0.10089421272277832,433,0.009237875288683603,0.0005650056427125292
deletion,vate,0,0.0,0.014221474528312683,16751,0.34708375619366005,0.0021189893511087314
deletion,vate,1,0.014221474528312683,0.026427507400512695,14531,0.13749913977014658,0.002674951001885884
deletion,vate,2,0.026427507400512695,0.039520263671875,14225,0.056239015817223195,0.0017894123560095922
deletion,vate,3,0.039520263671875,0.056232184171676636,11023,0.024766397532432188,0.0011329578583333297
deletion,vate,4,0.056232184171676636,0.067271888256073,4168,0.01055662188099808,0.0006466644195814737
deletion,vate,5,0.067271888256073,0.10144402384757996,5926,0.007593655079311508,0.0005961009730288518
deletion,vate,6,0.10144402384757996,0.232882559299469,1525,0.0019672131147540984,0.00025259666755551196
deletion,aligned_deja,0,0.0,0.007757246494293213,16361,0.3245522889798912,0.001079406236117309
deletion,aligned_deja,1,0.007757246494293213,0.014355868101119995,14730,0.11737949762389681,0.001233903138069417
deletion,aligned_deja,2,0.014355868101119995,0.02157685160636902,14784,0.045928030303030304,0.0007934353084533245
deletion,aligned_deja,3,0.02157685160636902,0.029673337936401367,11247,0.02160576153640971,0.0005365270789044586
deletion,aligned_deja,4,0.029673337936401367,0.03430074453353882,3776,0.011387711864406779,0.0003675844962314024
deletion,aligned_deja,5,0.03430074453353882,0.04834541380405426,5700,0.00631578947368421,0.00024152676264444986
